"ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝΟΜΙΚΩΝ"
"Οικονομικό έτος: 2025"
"Κωδικός Φορέα: 1024"
"Μείζ. κατηγορία","Ονομασία","2025"
21,"Παροχές σε εργαζομένους",558131000
22,"Κοινωνικές παροχές",321116000
23,"Μεταβιβάσεις",3343102000
24,"Αγορές αγαθών και υπηρεσιών",344743000
26,"Τόκοι",7701000000
27,"Λοιπές δαπάνες",100010000
29,"Πιστώσεις υπό κατανομή",2964455000
31,"Πάγια περιουσιακά στοιχεία",12795000
44,"Δάνεια",3741000000
45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων",1755112000
53,"Χρεωστικοί τίτλοι (υποχρεώσεις)",19375000000
54,"Δάνεια",1203165000000
"Σύνολο:","","1243381464000"
