"ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝΟΜΙΚΩΝ"
"Οικονομικό έτος: 2026"
"Κωδικός Φορέα: 1024"
"Μείζονα κατηγορία","Ονομασία","2026"
21,"Παροχές σε εργαζομένους","571.667.000"
22,"Κοινωνικές παροχές","540.987.000"
23,"Μεταβιβάσεις","3.724.330.000"
24,"Αγορές αγαθών και υπηρεσιών","382.999.000"
26,"Τόκοι","7.917.319.000"
27,"Λοιπές δαπάνες","100.010.000"
29,"Πιστώσεις υπό κατανομή","3.059.146.000"
31,"Πάγια περιουσιακά στοιχεία","10.980.000"
44,"Δάνεια","12.079.352.000"
45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων","1.587.084.000"
53,"Χρεωστικοί τίτλοι (υποχρεώσεις)","24.909.729.000"
54,"Δάνεια","1.659.113.701.000"
57,"Χρηματοοικονομικά παράγωγα","341.662.000"
"Σύνολο:","","1.714.338.966.000"
