Κατηγορία,Κωδικός,Περιγραφή,Ποσό (Ευρώ)
ΕΞΟΔΑ,21,Παροχές σε εργαζομένους,15688490000
ΕΞΟΔΑ,22,Κοινωνικές παροχές,627779000
ΕΞΟΔΑ,23,Μεταβιβάσεις,35897013000
ΕΞΟΔΑ,24,Αγορές αγαθών και υπηρεσιών,2388349000
ΕΞΟΔΑ,25,Επιδοτήσεις,80330000
ΕΞΟΔΑ,26,Τόκοι,7917420000
ΕΞΟΔΑ,27,Λοιπές δαπάνες,101259000
ΕΞΟΔΑ,29,Πιστώσεις υπό κατανομή,19989259000
ΕΞΟΔΑ,31,Πάγια περιουσιακά στοιχεία,3355541000
ΕΞΟΔΑ,33,Τιμαλφή,84000
ΕΞΟΔΑ,44,Δάνεια,12079352000
ΕΞΟΔΑ,45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1587084000
ΕΞΟΔΑ,53,Χρεωστικοί τίτλοι (υποχρεώσεις),24909729000
ΕΞΟΔΑ,54,Δάνεια,1659113701000
ΕΞΟΔΑ,57,Χρηματοοικονομικά παράγωγα,341662000
