Κωδικός,Φορέας,Τακτικός Προϋπολογισμός,Προϋπολογισμός Δημοσίων Επενδύσεων,Γενικό Σύνολο
1001,Προεδρία της Δημοκρατίας,4951000,0,4951000
1003,Βουλή των Ελλήνων,184900000,2000000,186900000
1004,Προεδρία της Κυβέρνησης,39905000,6000000,45905000
1007,Υπουργείο Εσωτερικών,3731668000,432000000,4163668000
1009,Υπουργείο Εξωτερικών,439237000,44000000,483237000
1011,Υπουργείο Εθνικής Άμυνας,6955272000,108000000,7063272000
1015,Υπουργείο Υγείας,6945945000,896000000,7841945000
1017,Υπουργείο Δικαιοσύνης,616577000,63000000,679577000
1020,"Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού",5899933000,864000000,6763933000
1022,Υπουργείο Πολιτισμού,278109000,375000000,653109000
1024,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1714338966000,3069954000,1717408920000
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,296877000,1207000000,1503877000
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,318452000,2815000000,3133452000
1032,Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης,18429078000,672000000,19101078000
1034,Υπουργείο Κοινωνικής Συνοχής και Οικογένειας,3570316000,233000000,3803316000
1036,Υπουργείο Ανάπτυξης,128476000,670000000,798476000
1039,Υπουργείο Υποδομών και Μεταφορών,1031756000,2360000000,3391756000
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,367593000,389000000,756593000
1045,Υπουργείο Τουρισμού,40992000,197000000,237992000
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,154403000,1237000000,1391403000
1055,Υπουργείο Μετανάστευσης και Ασύλου,156133000,380000000,536133000
1057,Υπουργείο Προστασίας του Πολίτη,2513285000,90000000,2603285000
1060,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,856115000,582000000,1438115000
1901,Αποκεντρωμένη Διοίκηση Αττικής,14380000,0,14380000
1902,"Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας",11142000,0,11142000
1903,"Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας",10981000,0,10981000
1904,"Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου",15556000,0,15556000
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,7149000,0,7149000
1906,Αποκεντρωμένη Διοίκηση Κρήτης,7311000,0,7311000
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,19640000,0,19640000
