Κωδικός,Ονομασία,Ποσό 1,Ποσό 2,Ποσό 3
1.,"ΕΣΟΔΑ Ευρώ",796.625.498.000,,
11.,"Φόροι »",45.654.498.000,,
12.,"Κοινωνικές εισφορές »",55.000.000,,
13.,"Μεταβιβάσεις »",7.376.000.000,,
14.,"Πωλήσεις αγαθών και υπηρεσιών »",2.092.000.000,,
15.,"Λοιπά τρέχοντα έσοδα »",1.911.000.000,,
31.,"Πάγια περιουσιακά στοιχεία »",13.000.000,,
43.,"Χρεωστικοί τίτλοι »",31.000.000,,
45.,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων »",687.000.000,,
52.,"Υποχρεώσεις από νόμισμα και καταθέσεις »",6.000.000,,
53.,"Χρεωστικοί τίτλοι (υποχρεώσεις) »",36.954.000.000,,
54.,"Δάνεια »",701.846.000.000,,
2.,"ΕΞΟΔΑ »",806.740.695.000,,
21.,"Παροχές σε εργαζομένους »",13.610.168.000,,
22.,"Κοινωνικές παροχές »",220.643.000,,
23.,"Μεταβιβάσεις »",30.583.382.000,,
24.,"Αγορές αγαθών και υπηρεσιών »",1.355.222.000,,
25.,"Επιδοτήσεις »",80.060.000,,
26.,"Τόκοι »",4.600.450.000,,
27.,"Λοιπές δαπάνες »",101.387.000,,
29.,"Πιστώσεις υπό κατανομή »",13.921.510.000,,
31.,"Πάγια περιουσιακά στοιχεία »",3.455.707.000,,
33.,"Τιμαλφή »",56.000,,
44.,"Δάνεια",3.509.500.000,,
45.,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων »",1.062.480.000,,
53.,"Χρεωστικοί τίτλοι (υποχρεώσεις) »",29.153.000.000,,
54.,"Δάνεια »",703.687.130.000,,
,"57. Χρηματοοικονομικά παράγωγα » 1.400.000.000 » ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ) »",-10.115.197.000,,
1001,"Προεδρία της Δημοκρατίας",4.462.000,0,4.462.000
1003,"Βουλή των Ελλήνων",144.200.000,2.000.000,146.200.000
1004,"Προεδρία της Κυβέρνησης",33.144.000,11.000.000,44.144.000
,"Υπουργεία",795.405.327.000,10.985.590.000,806.390.917.000
1007,"Υπουργείο Εσωτερικών",2.928.568.000,310.000.000,3.238.568.000
1009,"Υπουργείο Εξωτερικών",254.622.000,14.000.000,268.622.000
1011,"Υπουργείο Εθνικής Άμυνας",6.431.600.000,34.000.000,6.465.600.000
1015,"Υπουργείο Υγείας",4.341.371.000,315.900.000,4.657.271.000
1017,"Υπουργείο Δικαιοσύνης",516.768.000,61.600.000,578.368.000
1019,"Υπουργείο Παιδείας και Θρησκευμάτων",4.891.100.000,950.000.000,5.841.100.000
1021,"Υπουργείο Πολιτισμού και Αθλητισμού",337.553.000,80.000.000,417.553.000
1023,"Υπουργείο Οικονομικών",750.441.665.000,1.135.161.000,751.576.826.000
1029,"Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων",187.436.000,854.000.000,1.041.436.000
1031,"Υπουργείο Περιβάλλοντος και Ενέργειας",195.581.000,1.220.000.000,1.415.581.000
1033,"Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων",20.892.496.000,720.000.000,21.612.496.000
1035,"Υπουργείο Ανάπτυξης και Επενδύσεων",146.720.000,2.780.000.000,2.926.720.000
1039,"Υπουργείο Υποδομών και Μεταφορών",756.210.000,1.290.000.000,2.046.210.000
1041,"Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής",276.427.000,175.000.000,451.427.000
1045,"Υπουργείο Τουρισμού",39.485.000,45.000.000,84.485.000
1053,"Υπουργείο Ψηφιακής Διακυβέρνησης",240.578.000,714.000.000,954.578.000
1055,"Υπουργείο Μετανάστευσης και Ασύλου",92.713.000,150.929.000,243.642.000
1057,"Υπουργείο Προστασίας του Πολίτη",1.900.413.000,75.000.000,1.975.413.000
1059,"Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας",534.021.000,61.000.000,595.021.000
,"Αποκεντρωμένες Διοικήσεις",154.972.000,0,154.972.000
1901,"Αποκεντρωμένη Διοίκηση Αττικής",17.492.000,0,17.492.000
31.786.000,"0",31.786.000,,
1905,"Αποκεντρωμένη Διοίκηση Αιγαίου",10.462.000,0,10.462.000
1906,"Αποκεντρωμένη Διοίκηση Κρήτης",10.844.000,0,10.844.000
1907,"Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης",39.555.000,0,39.555.000
11,"Φόροι",45.654.498.000,,
12,"Κοινωνικές εισφορές",55.000.000,,
13,"Μεταβιβάσεις",7.376.000.000,,
14,"Πωλήσεις αγαθών και υπηρεσιών",2.092.000.000,,
15,"Λοιπά τρέχοντα έσοδα",1.911.000.000,,
31,"Πάγια περιουσιακά στοιχεία",13.000.000,,
43,"Χρεωστικοί τίτλοι",31.000.000,,
45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων",687.000.000,,
52,"Υποχρεώσεις από Νόμισμα και καταθέσεις",6.000.000,,
53,"Χρεωστικοί τίτλοι (Υποχρεώσεις)",36.954.000.000,,
54,"Δάνεια 701.846.000.000 Σύνολο:",796.625.498.000,,
11,"Φόροι",45.654.498.000,,
111,"Φόροι επί αγαθών και υπηρεσιών",25.799.498.000,,
11101,"Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ",10.215.000.000,,
1110102,"ΦΠΑ στις νέες οικοδομές",3.000.000,,
