Κωδικός,Περιγραφή,Ποσό
111,Φόροι επί αγαθών και υπηρεσιών,33.667.000.000
112,Φόροι και δασμοί επί εισαγωγών,362.000.000
113,Τακτικοί φόροι ακίνητης περιουσίας,2.353.000.000
114,Λοιποί φόροι επί παραγωγής,355.000.000
115,Φόρος εισοδήματος,23.719.000.000
116,Φόροι κεφαλαίου,232.000.000
119,Λοιποί τρέχοντες φόροι,1.367.000.000
122,Λοιπές κοινωνικές εισφορές,60.000.000
131,Τρέχουσες εγχώριες μεταβιβάσεις,322.000.000
132,Τρέχουσες μεταβιβάσεις από οργανισμούς και κράτη-μέλη της Ε.Ε,15.000.000
133,Τρέχουσες μεταβιβάσεις από φορείς του εξωτερικού,8.000.000
134,Επιχορηγήσεις επενδύσεων εσωτερικού,35.000.000
135,Επιχορηγήσεις επενδύσεων από την Ε.Ε.,7.645.000.000
139,Λοιπές κεφαλαιακές μεταβιβάσεις,106.000.000
141,Πωλήσεις αγαθών,2.000.000
142,Παροχή υπηρεσιών,338.000.000
143,Μισθώματα,1.418.000.000
144,Προμήθειες,445.000.000
145,Διοικητικές αμοιβές,199.000.000
149,Λοιπές πωλήσεις,3.000.000
151,Τόκοι,588.000.000
152,Διανεμόμενο εισόδημα εταιριών,356.000.000
153,Ενοίκια φυσικών πόρων,75.000.000
156,"Πρόστιμα, ποινές και καταλογισμοί",1.102.000.000
159,Επιστροφές δαπανών,654.000.000
311,Κτίρια και συναφείς υποδομές,37.000.000
432,Μακροπρόθεσμοι χρεωστικοί τίτλοι,11.000.000
442,Μακροπρόθεσμα Δάνεια,20.000.000
451,Εισηγμένες μετοχές,239.000.000
452,Μη εισηγμένες μετοχές,228.000.000
521,Υποχρεώσεις από νόμισμα σε κυκλοφορία,66.000.000
531,Βραχυπρόθεσμοι χρεωστικοί τίτλοι,17.000.000.000
532,Μακροπρόθεσμοι χρεωστικοί τίτλοι,8.973.000.000
541,Βραχυπρόθεσμα δάνεια,1.200.000.000.000
542,Μακροπρόθεσμα δάνεια,2.027.000.000
571,Χρηματοοικονομικά παράγωγα,800.000.000
