Κωδικός,Κατηγορία,Ποσό
111,Φόροι επί αγαθών και υπηρεσιών,36222000000
112,Φόροι και δασμοί επί εισαγωγών,432000000
113,Τακτικοί φόροι ακίνητης περιουσίας,2280000000
114,Λοιποί φόροι επί παραγωγής,574000000
115,Φόρος εισοδήματος,24434000000
116,Φόροι κεφαλαίου,246000000
119,Λοιποί τρέχοντες φόροι,1398000000
122,Λοιπές κοινωνικές εισφορές,60000000
131,Τρέχουσες εγχώριες μεταβιβάσεις,279000000
132,Τρέχουσες μεταβιβάσεις από οργανισμούς και κράτη-μέλη της Ε.Ε,15000000
133,Τρέχουσες μεταβιβάσεις από φορείς του εξωτερικού,10000000
134,Επιχορηγήσεις επενδύσεων εσωτερικού,30000000
135,Επιχορηγήσεις επενδύσεων από την Ε.Ε.,10520000000
139,Λοιπές κεφαλαιακές μεταβιβάσεις,89000000
141,Πωλήσεις αγαθών,3000000
142,Παροχή υπηρεσιών,306000000
143,Μισθώματα,117000000
144,Προμήθειες,578000000
145,Διοικητικές αμοιβές,195000000
149,Λοιπές πωλήσεις,2000000
151,Τόκοι,363000000
152,Διανεμόμενο εισόδημα εταιριών,286000000
153,Ενοίκια φυσικών πόρων,59000000
156,Πρόστιμα, ποινές και καταλογισμοί,1131000000
159,Επιστροφές δαπανών,568000000
311,Κτίρια και συναφείς υποδομές,46000000
315,Μη παραγόμενα περιουσιακά στοιχεία,5000000
432,Μακροπρόθεσμοι χρεωστικοί τίτλοι,11000000
441,Βραχυπρόθεσμα Δάνεια,5340000000
442,Μακροπρόθεσμα Δάνεια,185000000
451,Εισηγμένες μετοχές,92000000
452,Μη εισηγμένες μετοχές,136000000
521,Υποχρεώσεις από νόμισμα σε κυκλοφορία,63000000
531,Βραχυπρόθεσμοι χρεωστικοί τίτλοι,15875000000
532,Μακροπρόθεσμοι χρεωστικοί τίτλοι,8000000000
541,Βραχυπρόθεσμα δάνεια,1650000000000
542,Μακροπρόθεσμα δάνεια,4726000000
571,Χρηματοοικονομικά παράγωγα,959000000
