Κωδικός,Ονομασία Λογαριασμού,Ποσό
11101,Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ,14635000000
11102,Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία,7853000000
11103,Ειδικοί φόροι κατανάλωσης,7172000000
11104,Φόροι με μορφή χαρτοσήμου,335000000
11105,Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών,670000000
11106,Φόροι ταξινόμησης οχημάτων,466000000
11108,Λοιποί φόροι επί συγκεκριμένων υπηρεσιών,2318000000
11109,Λοιποί Φόροι επί αγαθών,218000000
11201,Δασμοί,362000000
11301,Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας,2353000000
11401,Επιχειρηματικές και επαγγελματικές άδειες,306000000
11409,Διάφοροι άλλοι φόροι επί παραγωγής,49000000
11501,Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ),14511000000
11502,Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ),7244000000
11503,Φόροι επί κερδών διακράτησης,18000000
11504,Φόροι επί κερδών από λαχεία και τυχερά παίγνια,272000000
11505,Φόρος εισοδήματος κατοίκων αλλοδαπής,92000000
11506,Φόρος εισοδήματος ειδικών κατηγοριών,1582000000
11601,Φόροι κληρονομιών, γονικών παροχών και δωρεών,232000000
11901,Φόροι οχημάτων,1260000000
11902,Τρέχοντες φόροι επί κινητής περιουσίας,39000000
11903,Γενικές και ειδικές άδειες νοικοκυριών,68000000
12201,Εισφορές εργαζομένων,60000000
13108,Μεταβιβάσεις από λοιπά νομικά πρόσωπα,322000000
13201,Τρέχουσες μεταβιβάσεις από τα Κοινοτικά Ταμεία,15000000
13301,Τρέχουσες μεταβιβάσεις από Διεθνείς Οργανισμούς,1000000
13309,Τρέχουσες μεταβιβάσεις από λοιπούς φορείς του εξωτερικού,7000000
13409,Λοιπές Επιχορηγήσεις επενδύσεων,35000000
13501,Επιχορηγήσεις επενδύσεων από κοινοτικά ταμεία,7645000000
13901,Έσοδα από επιστροφές καταπτώσεων εγγυήσεων,61000000
13904,Έσοδα από δωρεές,7000000
13909,Έσοδα από λοιπές κεφαλαιακές μεταβιβάσεις,38000000
14101,Πωλήσεις αγαθών,2000000
14202,Παροχή υπηρεσιών εκπαίδευσης,1000000
14203,Παροχή δικαστικών υπηρεσιών,45000000
14204,Παροχή υπηρεσιών ελέγχου,137000000
14206,Παροχή υπηρεσιών από τα προξενεία,70000000
14209,Λοιπές παρεχόμενες υπηρεσίες,85000000
14301,Μισθώματα κτιρίων και υποδομών,1418000000
14401,Προμήθειες σε εισπράξεις-πληρωμές υπέρ τρίτων,111000000
14402,Προμήθειες για παροχή εγγυήσεων (πλην τραπεζών),312000000
14403,Προμήθειες από σχήματα στήριξης τραπεζών,22000000
14501,Παράβολα,199000000
14909,Έσοδα από λοιπές πωλήσεις,3000000
15101,Τόκοι καταθέσεων,484000000
15103,Τόκοι μακροπρόθεσμων τίτλων,69000000
15105,Τόκοι μακροπρόθεσμων δανείων,35000000
15201,Διανεμόμενο εισόδημα μετοχών εισηγμένων σε χρηματιστήριο,97000000
15202,Διανεμόμενο εισόδημα μετοχών μη εισηγμένων σε χρηματιστήριο,184000000
15203,Διανεμόμενο εισόδημα λοιπών συμμετοχών,75000000
15301,Ενοίκια πόρων υπεδάφους,7000000
15302,Ενοίκια γης,53000000
15309,Ενοίκια λοιπών φυσικών πόρων,15000000
15601,Φορολογικά πρόστιμα και προσαυξήσεις,773000000
15602,Τελωνειακά Πρόστιμα και προσαυξήσεις,25000000
15604,Καταλογισμοί,15000000
15609,Λοιπά πρόστιμα,289000000
15901,Επιστροφές αποδοχών,38000000
15903,Επιστροφές μεταβιβάσεων,439000000
15907,Επιστροφές λοιπών δαπανών,177000000
31103,Λοιπά κτίρια,37000000
43202,Μακροπρόθεσμοι τίτλοι έκδοσης Δημόσιων Επιχειρήσεων,11000000
44209,Λοιπά μακροπρόθεσμα δάνεια,20000000
45109,Λοιπές εισηγμένες μετοχές,239000000
45209,Λοιπές μη εισηγμένες μετοχές,228000000
52101,Υποχρεώσεις από κέρματα σε κυκλοφορία,66000000
53101,Βραχυπρόθεσμοι τίτλοι εσωτερικού,17000000000
53201,Μακροπρόθεσμοι τίτλοι εσωτερικού,8973000000
54101,Βραχυπρόθεσμα δάνεια εσωτερικού,1200000000000
54202,Μακροπρόθεσμα δάνεια εξωτερικού,2027000000
57101,Συμβάσεις ανταλλαγής,800000000
